protocol payload bytes cycles ns Mbps kBps ns_per_byte
uart csv_tick 41 3402 68040 4.8207 602.587 1659.5
uart fix_new_order 71 5892 117840 4.8201 602.512 1659.7
uart gif_1x1 34 2821 56420 4.821 602.623 1659.4
uart hello 2 165 3300 4.8485 606.061 1650.0
uart json_book 83 6888 137760 4.82 602.497 1659.8
uart json_fill 58 4813 96260 4.8203 602.535 1659.7
uart json_nbbo 85 7054 141080 4.82 602.495 1659.8
uart packed_tick 24 1991 39820 4.8217 602.712 1659.2
uart png_1x1 69 5726 114520 4.8201 602.515 1659.7
spi csv_tick 41 1438 28760 11.4047 1425.591 701.5
spi fix_new_order 71 2488 49760 11.4148 1426.849 700.8
spi gif_1x1 34 1193 23860 11.3998 1424.979 701.8
spi hello 2 73 1460 10.9589 1369.863 730.0
spi json_book 83 2908 58160 11.4168 1427.098 700.7
spi json_fill 58 2033 40660 11.4117 1426.463 701.0
spi json_nbbo 85 2978 59560 11.4171 1427.132 700.7
spi packed_tick 24 843 16860 11.3879 1423.488 702.5
spi png_1x1 69 2418 48360 11.4144 1426.799 700.9
i2c csv_tick 41 2089 41780 7.8506 981.331 1019.0
i2c fix_new_order 71 3619 72380 7.8475 980.934 1019.4
i2c gif_1x1 34 1732 34640 7.8522 981.524 1018.8
i2c hello 2 100 2000 8.0 1000.0 1000.0
i2c json_book 83 4231 84620 7.8468 980.856 1019.5
i2c json_fill 58 2956 59120 7.8484 981.055 1019.3
i2c json_nbbo 85 4333 86660 7.8468 980.845 1019.5
i2c packed_tick 24 1222 24440 7.856 981.997 1018.3
i2c png_1x1 69 3517 70340 7.8476 980.95 1019.4

Clock assumption: 50 MHz (Tiny Tapeout CLOCK_PERIOD 20 ns), unproven P&R.
Primary HFT feeds (10/25/100GbE) do not fit this pin engine.
This path is sideband: config, snapshots, JSON control, image debug.
